전출지,전입지,계
서울 중구,부산 기장군,8
서울 중구,대구,105
서울 중구,대구 중구,5
서울 중구,대구 동구,17
서울 중구,대구 서구,3
서울 중구,대구 남구,7
서울 중구,대구 북구,16
서울 중구,대구 수성구,32
서울 중구,대구 달서구,21
서울 중구,대구 달성군,4
서울 중구,대구 군위군,0
서울 중구,인천,307
서울 중구,인천 중구,48
서울 중구,인천 동구,2
서울 중구,인천 미추홀구,37
서울 중구,인천 연수구,55
서울 중구,인천 남동구,31
서울 중구,인천 부평구,38
서울 중구,인천 계양구,20
서울 중구,인천 서구,70
서울 중구,인천 강화군,5
서울 중구,인천 옹진군,1
서울 중구,광주,68
서울 중구,광주 동구,7
서울 중구,광주 서구,24
서울 중구,광주 남구,11
서울 중구,광주 북구,14
서울 중구,광주 광산구,12
서울 중구,대전,99
서울 중구,대전 동구,13
서울 중구,대전 중구,18
서울 중구,대전 서구,39
서울 중구,대전 유성구,23
서울 중구,대전 대덕구,6
서울 중구,울산,70
서울 중구,울산 중구,19
서울 중구,울산 남구,25
서울 중구,울산 동구,6
서울 중구,울산 북구,7
서울 중구,울산 울주군,13
서울 중구,세종,49
서울 중구,세종,49
서울 중구,경기,1828
서울 중구,경기 수원시,156
서울 중구,경기 성남시,178
서울 중구,경기 의정부시,55
서울 중구,경기 안양시,87
서울 중구,경기 부천시,67
서울 중구,경기 광명시,52
서울 중구,경기 평택시,71
서울 중구,경기 동두천시,12
서울 중구,경기 안산시,43
서울 중구,경기 고양시,203
서울 중구,경기 과천시,13
서울 중구,경기 구리시,31
서울 중구,경기 남양주시,113
서울 중구,경기 오산시,24
서울 중구,경기 시흥시,32
서울 중구,경기 군포시,24
서울 중구,경기 의왕시,15
서울 중구,경기 하남시,47
서울 중구,경기 용인시,155
서울 중구,경기 파주시,68
서울 중구,경기 이천시,30
서울 중구,경기 안성시,31
서울 중구,경기 김포시,58
서울 중구,경기 화성시,104
서울 중구,경기 광주시,45
서울 중구,경기 양주시,41
서울 중구,경기 포천시,7
서울 중구,경기 여주시,12
서울 중구,경기 연천군,8
서울 중구,경기 가평군,13
서울 중구,경기 양평군,33
서울 중구,충북,101
서울 중구,충북 청주시,56
서울 중구,충북 충주시,7
서울 중구,충북 제천시,12
서울 중구,충북 보은군,2
서울 중구,충북 옥천군,0
서울 중구,충북 영동군,1
서울 중구,충북 증평군,1
서울 중구,충북 진천군,8
서울 중구,충북 괴산군,5
서울 중구,충북 음성군,8
서울 중구,충북 단양군,1
서울 중구,충남,147
서울 중구,충남 천안시,50
서울 중구,충남 공주시,6
서울 중구,충남 보령시,3
서울 중구,충남 아산시,25
서울 중구,충남 서산시,13
서울 중구,충남 논산시,5
서울 중구,충남 계룡시,1
서울 중구,충남 당진시,13
서울 중구,충남 금산군,3
서울 중구,충남 부여군,6
서울 중구,충남 서천군,4
서울 중구,충남 청양군,3
서울 중구,충남 홍성군,5
서울 중구,충남 예산군,6
서울 중구,충남 태안군,4
서울 중구,전남,72
서울 중구,전남 목포시,12
서울 중구,전남 여수시,9
서울 중구,전남 순천시,14
서울 중구,전남 나주시,7
서울 중구,전남 광양시,7
서울 중구,전남 담양군,2
서울 중구,전남 곡성군,0
서울 중구,전남 구례군,0
서울 중구,전남 고흥군,2
서울 중구,전남 보성군,1
서울 중구,전남 화순군,0
서울 중구,전남 장흥군,1
서울 중구,전남 강진군,1
서울 중구,전남 해남군,1
서울 중구,전남 영암군,1
서울 중구,전남 무안군,4
서울 중구,전남 함평군,0
서울 중구,전남 영광군,1
서울 중구,전남 장성군,3
서울 중구,전남 완도군,0
서울 중구,전남 진도군,3
서울 중구,전남 신안군,3
서울 중구,경북,114
서울 중구,경북 포항시,29
서울 중구,경북 경주시,10
서울 중구,경북 김천시,8
서울 중구,경북 안동시,13
서울 중구,경북 구미시,13
서울 중구,경북 영주시,3
서울 중구,경북 영천시,1
서울 중구,경북 상주시,6
서울 중구,경북 문경시,3
서울 중구,경북 경산시,8
서울 중구,경북 의성군,1
서울 중구,경북 청송군,1
서울 중구,경북 영양군,2
서울 중구,경북 영덕군,2
서울 중구,경북 청도군,0
서울 중구,경북 고령군,1
서울 중구,경북 성주군,2
서울 중구,경북 칠곡군,4
서울 중구,경북 예천군,3
서울 중구,경북 봉화군,2
서울 중구,경북 울진군,2
서울 중구,경북 울릉군,0
서울 중구,경남,123
서울 중구,경남 창원시,45
서울 중구,경남 진주시,19
서울 중구,경남 통영시,3
서울 중구,경남 사천시,8
서울 중구,경남 김해시,15
서울 중구,경남 밀양시,4
서울 중구,경남 거제시,11
서울 중구,경남 양산시,9
서울 중구,경남 의령군,0
서울 중구,경남 함안군,2
서울 중구,경남 창녕군,2
서울 중구,경남 고성군,1
서울 중구,경남 남해군,1
서울 중구,경남 하동군,2
서울 중구,경남 산청군,0
서울 중구,경남 함양군,0
서울 중구,경남 거창군,1
서울 중구,경남 합천군,0
서울 중구,제주,53
서울 중구,제주 제주시,32
서울 중구,제주 서귀포시,21
서울 중구,강원,139
서울 중구,강원 춘천시,31
서울 중구,강원 원주시,33
서울 중구,강원 강릉시,20
서울 중구,강원 동해시,5
서울 중구,강원 태백시,0
서울 중구,강원 속초시,11
서울 중구,강원 삼척시,3
서울 중구,강원 홍천군,5
서울 중구,강원 횡성군,3
서울 중구,강원 영월군,3
서울 중구,강원 평창군,1
서울 중구,강원 정선군,4
서울 중구,강원 철원군,1
서울 중구,강원 화천군,2
서울 중구,강원 양구군,3
서울 중구,강원 인제군,2
서울 중구,강원 고성군,4
서울 중구,강원 양양군,8
서울 중구,전북,106
서울 중구,전북 전주시,42
서울 중구,전북 군산시,14
서울 중구,전북 익산시,15
서울 중구,전북 정읍시,5
서울 중구,전북 남원시,7
서울 중구,전북 김제시,3
서울 중구,전북 완주군,4
서울 중구,전북 진안군,0
서울 중구,전북 무주군,0
서울 중구,전북 장수군,0
서울 중구,전북 임실군,1
서울 중구,전북 순창군,1
서울 중구,전북 고창군,6
서울 중구,전북 부안군,8
서울 용산구,전국,14813
서울 용산구,서울,9294
서울 용산구,서울 종로구,189
서울 용산구,서울 중구,313
서울 용산구,서울 용산구,2182
서울 용산구,서울 성동구,407
서울 용산구,서울 광진구,210
서울 용산구,서울 동대문구,278
서울 용산구,서울 중랑구,80
서울 용산구,서울 성북구,310
서울 용산구,서울 강북구,126
서울 용산구,서울 도봉구,110
서울 용산구,서울 노원구,121
서울 용산구,서울 은평구,315
서울 용산구,서울 서대문구,341
서울 용산구,서울 마포구,826
서울 용산구,서울 양천구,120
서울 용산구,서울 강서구,247
서울 용산구,서울 구로구,191
서울 용산구,서울 금천구,88
서울 용산구,서울 영등포구,456
서울 용산구,서울 동작구,417
서울 용산구,서울 관악구,342
서울 용산구,서울 서초구,541
서울 용산구,서울 강남구,509
서울 용산구,서울 송파구,293
서울 용산구,서울 강동구,282
서울 용산구,부산,213
서울 용산구,부산 중구,2
서울 용산구,부산 서구,10
서울 용산구,부산 동구,8
서울 용산구,부산 영도구,3
서울 용산구,부산 부산진구,15
서울 용산구,부산 동래구,13
서울 용산구,부산 남구,23
서울 용산구,부산 북구,11
서울 용산구,부산 해운대구,40
서울 용산구,부산 사하구,10
서울 용산구,부산 금정구,17
서울 용산구,부산 강서구,8
서울 용산구,부산 연제구,12
서울 용산구,부산 수영구,29
서울 용산구,부산 사상구,3
서울 용산구,부산 기장군,9
서울 용산구,대구,127
서울 용산구,대구 중구,9
서울 용산구,대구 동구,18
서울 용산구,대구 서구,8
서울 용산구,대구 남구,4
서울 용산구,대구 북구,13
서울 용산구,대구 수성구,34
서울 용산구,대구 달서구,27
서울 용산구,대구 달성군,14
서울 용산구,대구 군위군,0
서울 용산구,인천,471
서울 용산구,인천 중구,48
서울 용산구,인천 동구,5
서울 용산구,인천 미추홀구,49
서울 용산구,인천 연수구,92
서울 용산구,인천 남동구,36
서울 용산구,인천 부평구,71
서울 용산구,인천 계양구,35
서울 용산구,인천 서구,113
서울 용산구,인천 강화군,19
서울 용산구,인천 옹진군,3
서울 용산구,광주,97
서울 용산구,광주 동구,9
서울 용산구,광주 서구,25
서울 용산구,광주 남구,16
서울 용산구,광주 북구,27
서울 용산구,광주 광산구,20
서울 용산구,대전,198
서울 용산구,대전 동구,30
서울 용산구,대전 중구,29
서울 용산구,대전 서구,48
서울 용산구,대전 유성구,78
서울 용산구,대전 대덕구,13
서울 용산구,울산,57
서울 용산구,울산 중구,15
서울 용산구,울산 남구,16
서울 용산구,울산 동구,4
서울 용산구,울산 북구,5
서울 용산구,울산 울주군,17
서울 용산구,세종,80
서울 용산구,세종,80
서울 용산구,경기,2984
서울 용산구,경기 수원시,220
서울 용산구,경기 성남시,264
서울 용산구,경기 의정부시,96
서울 용산구,경기 안양시,162
