연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2011,충남,741.0,329.0,1781.0,2069.0,1107.0,1561.0,791.0,982.0,2602.0,4481.0,7997.0,-570.0,23871.0,1989.0
2011,충북,148.0,338.0,954.0,943.0,2353.0,759.0,766.0,733.0,815.0,2059.0,1833.0,2447.0,14148.0,1179.0
2012,강원,203.0,343.0,707.0,727.0,1332.0,584.0,1027.0,2595.0,1164.0,1269.0,559.0,555.0,11065.0,922.0
2012,경기,3384.0,4374.0,9225.0,6333.0,6601.0,21436.0,7103.0,9315.0,15862.0,13389.0,5634.0,18639.0,121295.0,10108.0
2012,경남,2448.0,3805.0,2310.0,1465.0,7716.0,3864.0,2932.0,1766.0,2641.0,4468.0,1574.0,1263.0,36252.0,3021.0
2012,경북,658.0,816.0,3931.0,1329.0,2182.0,1786.0,904.0,2119.0,2529.0,1799.0,2970.0,2254.0,23277.0,1940.0
2012,광주,1996.0,2625.0,1233.0,694.0,1470.0,1681.0,944.0,4569.0,1115.0,2252.0,1396.0,1289.0,21264.0,1772.0
2012,대구,136.0,331.0,664.0,523.0,1497.0,1685.0,180.0,783.0,327.0,1226.0,467.0,5921.0,13740.0,1145.0
2012,대전,433.0,598.0,796.0,346.0,332.0,300.0,444.0,138.0,894.0,522.0,292.0,2603.0,7698.0,642.0
2012,부산,1508.0,2181.0,2240.0,2495.0,2832.0,2531.0,1544.0,3752.0,2698.0,3383.0,5096.0,3896.0,34156.0,2846.0
2012,서울,5486.0,4713.0,8786.0,7302.0,8727.0,4294.0,6108.0,8910.0,8331.0,3361.0,2637.0,4619.0,73274.0,6106.0
2012,세종,0.0,0.0,0.0,0.0,0.0,0.0,84.0,567.0,954.0,1266.0,3522.0,2670.0,9063.0,755.0
2012,울산,222.0,453.0,1309.0,1204.0,1258.0,2588.0,783.0,541.0,3088.0,798.0,354.0,595.0,13193.0,1099.0
2012,인천,1940.0,738.0,1888.0,764.0,708.0,785.0,1251.0,777.0,375.0,2996.0,446.0,1796.0,14464.0,1205.0
2012,전남,871.0,728.0,1388.0,1071.0,3462.0,2131.0,2148.0,788.0,1926.0,727.0,1828.0,5256.0,22324.0,1860.0
2012,전북,308.0,1484.0,1697.0,1534.0,1255.0,3322.0,754.0,1981.0,745.0,1117.0,2740.0,2539.0,19476.0,1623.0
2012,제주,528.0,1123.0,1314.0,1172.0,986.0,804.0,598.0,940.0,1323.0,454.0,511.0,316.0,10069.0,839.0
2012,충남,397.0,4859.0,3148.0,3017.0,4026.0,4641.0,1161.0,2336.0,2076.0,1161.0,866.0,4584.0,32272.0,2689.0
2012,충북,247.0,528.0,2944.0,1534.0,1859.0,1044.0,1871.0,3015.0,1419.0,564.0,1880.0,1208.0,18113.0,1509.0
2013,강원,236.0,956.0,881.0,845.0,1053.0,582.0,629.0,493.0,504.0,962.0,2522.0,1769.0,11432.0,953.0
2013,경기,4381.0,11417.0,6194.0,10142.0,5971.0,7853.0,11789.0,9485.0,11070.0,7485.0,8610.0,20036.0,114433.0,9536.0
2013,경남,722.0,639.0,4139.0,3602.0,2649.0,1719.0,2420.0,1104.0,2742.0,1880.0,1766.0,5222.0,28604.0,2384.0
2013,경북,1828.0,1504.0,2392.0,2942.0,3421.0,2793.0,2268.0,1391.0,1040.0,2436.0,3899.0,-215.0,25699.0,2142.0
2013,광주,759.0,1185.0,86.0,2154.0,584.0,365.0,419.0,270.0,220.0,447.0,1013.0,779.0,8281.0,690.0
2013,대구,177.0,1049.0,4093.0,2062.0,1445.0,238.0,836.0,889.0,2765.0,2469.0,4588.0,3745.0,24356.0,2030.0
2013,대전,118.0,187.0,831.0,201.0,254.0,282.0,117.0,169.0,630.0,1186.0,1646.0,2100.0,7721.0,643.0
2013,부산,1092.0,1410.0,1658.0,1247.0,1267.0,2155.0,2519.0,2406.0,1152.0,1525.0,3403.0,3301.0,23135.0,1928.0
2013,서울,1900.0,3944.0,5181.0,3709.0,4283.0,4771.0,4734.0,8373.0,2717.0,5161.0,10792.0,10297.0,65862.0,5488.0
2013,세종,1374.0,1869.0,1634.0,1082.0,1122.0,2668.0,393.0,862.0,50.0,989.0,2695.0,2232.0,16970.0,1414.0
2013,울산,426.0,105.0,2172.0,182.0,1070.0,253.0,283.0,774.0,160.0,682.0,1963.0,425.0,8495.0,708.0
2013,인천,388.0,357.0,628.0,526.0,852.0,4649.0,695.0,770.0,768.0,531.0,571.0,1585.0,12320.0,1027.0
2013,전남,579.0,401.0,868.0,1476.0,1694.0,843.0,665.0,2264.0,847.0,1550.0,645.0,3785.0,15617.0,1301.0
2013,전북,454.0,2430.0,707.0,1848.0,1474.0,1002.0,1184.0,448.0,1088.0,626.0,1434.0,791.0,13486.0,1124.0
